nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
MAGDA MOFATTO HON,F,26/10/1948,77,15,3,28,42,6,"247.802,06","41.429,43","31.068,63","47.136,54","47.632,39","46.414,73","19.428,88","6.001,17","8.505,69","115,33","69,27","0,00",0,"1.079.760,32","103.642,03","111.061,35","110.458,33","109.242,74","110.160,73","111.392,46","111.429,23","111.429,23","100.201,81","100.742,41",0,0,"33.763,00",0
FABIANA SILVA DE SOUZA,F,09/01/1980,76,16,11,22,4,4,"246.957,42","19.669,14","45.316,31","52.715,53","30.152,26","32.781,41","27.385,49","25.479,97","6.199,02","5.005,38","1.966,38","286,53",0,"1.113.455,24","111.544,24","111.438,52","111.398,27","111.315,37","111.119,65","111.039,60","111.350,20","111.350,20","111.554,84","111.344,35",0,0,"33.763,00",0
LUIZIANNE DE OLIVEIRA LINS,F,18/11/1968,82,10,7,5,16,6,"391.834,12","43.009,21","49.188,28","62.832,39","40.398,85","50.556,05","27.655,84","25.583,94","56.182,22","8.648,41","27.778,93","0,00",0,"1.116.014,42","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.532,28","111.532,28","111.532,28","111.532,28",0,0,"33.763,00",0
MARGARETE DE CASTRO COELHO,F,12/03/1961,81,11,7,58,27,5,"360.665,17","39.855,50","50.976,40","52.735,60","50.764,85","28.872,48","40.798,70","35.963,33","15.107,77","13.877,11","31.713,43","0,00",0,"1.079.379,91","110.943,91","108.857,07","110.120,74","99.024,19","107.482,10","108.590,38","108.590,38","108.590,38","108.590,38","108.590,38",0,0,"33.763,00",2
CYLMARA FERNANDES DA ROCHA GRIPP,F,04/09/1973,77,15,14,30,22,6,"429.966,83","56.886,05","57.867,30","54.199,26","62.724,01","46.657,40","33.841,62","21.007,85","23.443,28","30.345,94","42.994,12","0,00",0,"1.108.625,39","110.779,96","110.779,96","110.779,96","110.779,96","110.779,96","109.894,35","110.779,96","110.983,86","111.574,61","111.492,81",0,0,"33.763,00",0
MARIA DO ROSÁRIO NUNES,F,22/11/1966,77,15,6,48,34,12,"387.871,84","45.949,20","43.740,41","69.986,28","49.177,17","42.746,98","41.192,91","36.138,61","26.246,21","12.312,33","18.496,99","1.884,75",0,"1.090.821,34","108.772,35","108.772,35","108.876,06","111.047,03","106.150,54","107.898,86","108.449,48","109.367,19","110.743,74","110.743,74",0,0,"33.763,00",0
NORMA AYUB ALVES,F,07/09/1959,77,15,14,19,13,8,"274.172,87","19.354,87","22.480,29","25.213,93","34.202,81","34.648,47","33.963,01","31.584,22","23.186,05","21.711,62","24.913,35","2.914,25",0,"1.086.780,10","109.263,62","109.263,62","109.371,25","108.682,13","108.282,54","109.497,38","106.962,54","107.480,28","107.282,54","110.694,20",0,0,"33.763,00",0
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,12/04/1984,64,28,21,3,10,5,"279.180,89","13.902,07","25.170,41","93.784,61","29.683,86","54.406,01","14.216,62","21.165,20","10.306,43","9.508,71","6.719,11","317,86",0,"1.069.269,96","108.653,71","111.429,12","111.429,12","109.087,10","107.972,58","111.617,16","110.853,68","111.354,04","98.888,69","87.984,76",0,0,"33.763,00",0
MARIA DO PARTO MENDES ROSAS,F,01/10/1965,62,0,0,41,3,0,"187.092,56",0,0,0,"18.825,99","31.183,42","39.925,50","29.239,92","24.673,76","26.942,82","16.101,15","200,00",0,"1.099.115,16","106.936,54","107.061,76","110.238,71","111.538,37","111.538,37","109.915,15","107.599,10","111.210,42","111.538,37","111.538,37",0,0,"33.763,00",0
PATRICIA LIMA FERRAZ,F,09/01/1980,10,0,0,0,0,0,"55.295,48",0,0,0,0,0,0,0,0,"7.370,23","47.113,09","812,16",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,0,"33.763,00",0
MARINA SANTOS BATISTA DIAS,F,13/09/1980,90,2,2,6,13,1,"356.995,02","23.811,47","41.587,12","38.764,57","41.760,61","35.827,39","43.099,71","38.934,07","25.951,64","26.865,00","39.929,24","464,20",0,"1.114.463,33","111.495,88","111.495,88","111.311,17","111.495,87","111.185,14","111.495,87","111.495,88","111.495,88","111.495,88","111.495,88",0,0,"33.763,00",0
