nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
EDUARDO PEDROSA CURY,M,19/09/1963,88,4,3,73,4,1,"326.758,44","44.245,79","43.411,00","38.868,35","28.628,41","38.316,02","37.405,99","32.488,40","25.399,98","15.738,89","21.411,50","844,11",0,"989.725,85","101.582,78","91.148,77","91.148,77","97.477,96","98.965,06","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",0,0,"33.763,00",1
ELI DIAS BORGES,M,01/09/1960,81,11,0,6,11,0,"387.768,57","31.188,98","46.066,46","51.592,15","46.239,19","48.724,20","43.313,71","41.770,08","35.826,39","32.457,67","10.263,37","326,37",0,"1.104.364,78","111.130,49","111.205,19","111.205,19","108.796,48","110.064,23","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48",0,0,"33.763,00",0
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,17/10/1972,84,8,3,2,41,1,"312.968,63","32.850,43","40.394,52","45.258,71","48.013,04","46.806,07","25.355,86","21.639,01","25.533,18","16.448,58","10.669,23","0,00",0,"1.055.312,52","110.448,12","97.120,73","97.120,73","102.047,21","105.204,32","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39",0,0,"33.763,00",0
ADRIANO ELI CORRÊA,M,13/01/1976,82,10,0,42,27,0,"259.050,20","22.593,30","23.225,37","28.285,66","57.687,80","56.126,53","30.297,57","22.196,45","6.522,28","421,69","11.693,55","0,00",0,"1.048.068,72","105.205,60","105.205,60","105.205,60","105.205,60","101.881,14","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61",0,0,"33.763,00",0
ELMAR JOSE VIEIRA NASCIMENTO,M,06/07/1970,68,24,24,1,0,0,"387.228,91","11.585,43","41.325,81","49.088,47","60.314,77","42.793,20","47.062,33","37.636,26","47.299,08","35.416,34","14.707,22","0,00",0,"1.088.843,14","111.611,09","111.611,09","111.611,09","111.095,09","111.611,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84",0,0,"33.763,00",1
EMIDIO ALVES MADEIRA JUNIOR,M,10/03/1967,80,12,12,16,6,4,"299.796,22","56.761,57","45.061,77","39.330,09","32.196,96","44.434,07","26.760,94","20.847,93","15.245,77","11.938,26","7.218,86","0,00",0,"1.114.845,39","110.980,22","111.528,12","111.528,12","111.617,15","111.623,22","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",0,0,"33.763,00",0
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,06/08/1994,87,5,0,43,21,0,"311.478,65","24.947,21","27.020,22","42.425,59","43.740,70","54.222,55","37.817,19","41.206,87","22.642,88","16.871,36","525,61","58,47",0,"1.106.991,70","111.586,88","110.816,09","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",0,0,"33.763,00",0
EUCLYDES MARCOS PETTERSEN NETO,M,15/08/1984,77,15,14,6,19,6,"229.414,98","39.458,55","32.301,23","28.593,33","36.303,64","35.945,83","21.880,35","11.556,55","10.510,19","6.865,31","6.000,00","0,00",0,"1.102.008,88","101.942,13","111.623,19","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",0,0,"33.763,00",1
ELIAS VAZ DE ANDRADE,M,04/07/1966,82,10,9,81,19,5,"165.066,01","15.838,58","26.200,21","25.592,46","27.999,68","27.596,14","12.853,99","11.787,89","3.017,22","323,45","13.514,24","342,15",0,"1.074.212,44","105.866,83","104.555,04","104.555,04","105.866,83","106.630,73","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38",0,0,"33.763,00",0
ENIO JOSÉ VERRI,M,27/03/1961,89,3,2,32,4,0,"341.401,56","38.190,58","37.467,64","68.879,63","38.986,43","43.960,07","29.704,02","25.886,97","22.258,37","24.764,98","11.302,87","0,00",0,"1.111.367,61","111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",0,0,"33.763,00",0
EMANUEL PINHEIRO DA SILVA PRIMO,M,05/01/1995,70,22,3,11,8,1,"256.826,54","18.918,90","40.897,04","43.529,50","29.158,03","34.158,66","52.895,35","15.688,43","14.630,60","825,90","5.915,00","209,13",0,"1.067.534,67","108.820,92","111.435,25","111.435,25","111.435,25","110.245,56","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",0,0,"33.763,00",0
EROS FERREIRA BIONDINI,M,20/05/1971,88,4,4,33,15,1,"271.458,23","20.515,33","28.975,49","33.405,69","31.526,03","36.712,77","29.487,20","35.290,07","20.709,20","17.992,30","15.160,88","1.683,27",0,"836.020,40","90.223,04","86.035,27","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",0,0,"33.763,00",0
EXPEDITO GONCALVES FERREIRA NETTO,M,05/10/1988,82,10,9,2,19,3,"210.097,39","14.767,54","30.093,83","31.810,97","30.510,09","25.416,15","18.925,02","27.570,19","12.641,28","1.388,85","15.991,39","982,08",0,"1.099.381,29","111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",0,0,"33.763,00",0
FABIO HENRIQUE SANTANA DE CARVALHO,M,19/06/1972,90,2,0,75,22,0,"368.974,61","40.955,79","38.278,23","46.688,34","53.420,14","51.837,95","35.534,63","55.589,55","24.846,87","10.956,64","10.828,96","37,51",0,"1.103.960,07","110.763,22","110.870,47","110.870,47","105.066,49","109.456,57","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",0,0,"33.763,00",0
FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,22/12/1961,88,4,0,19,17,0,"279.623,33","37.959,25","45.891,80","34.431,36","27.698,63","36.101,94","23.280,97","25.058,29","19.706,66","16.954,06","11.293,22","1.247,15",0,"1.073.082,80","106.849,52","104.102,48","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",0,0,"33.763,00",0
